"SUR_DOX","BOT_PSAL","AVG_TEMP","bathymetry","AVG_PSAL","BOT_CPHL","SUR_TEMP","SUR_CPHL","AVG_CPHL","BOT_TEMP","SUR_PSAL"
228.2510071,38.81975555,14.95001602,-7.276116848,38.83145905,0.005139484,16.45991516,0.043801907,0.039198086,14.15662003,38.77896881
228.240509,38.81975174,14.94956398,-1.977054,38.83145142,0.005141778,16.4507885,0.043798275,0.039200917,14.1568346,38.77896881
228.2798462,38.81977081,14.9516058,0.553999484,38.83147812,0.005138542,16.4759655,0.043772351,0.039176352,14.15642262,38.778759
228.3082123,38.81978989,14.95196438,-2.378401995,38.83151245,0.005135256,16.50354004,0.043774273,0.039165325,14.15573883,38.77922821
228.3275299,38.81981277,14.95047092,-5.050442219,38.83155441,0.005138827,16.52828598,0.04376414,0.039153069,14.15505409,38.78043747
228.3553925,38.81982422,14.95119572,-6.523546696,38.8315773,0.005133944,16.55458069,0.043771692,0.039144468,14.15440559,38.78070068
228.330368,38.8198204,14.94961929,-8.158041954,38.83156586,0.005140486,16.5352459,0.043764845,0.039151821,14.1548214,38.78094101
228.3091125,38.8197937,14.95080566,-3.732300282,38.8315239,0.005137336,16.51049995,0.043777276,0.039165523,14.15547752,38.77985764
228.2767181,38.819767,14.95171452,0.633089662,38.8314743,0.005135877,16.47545624,0.043787949,0.039183091,14.15638351,38.77865982
228.2717133,38.81975937,14.95125675,-2.11400938,38.83146667,0.005134367,16.47601891,0.043807488,0.03919204,14.15627098,38.77879333
228.2456818,38.81977081,14.94717407,-7.46943903,38.83148193,0.005148519,16.46525574,0.043789972,0.039195109,14.15635109,38.78029251
228.232193,38.81977463,14.9457159,-9.308299065,38.83148193,0.00515381,16.45723534,0.043783754,0.039197914,14.15648556,38.78073883
228.2351532,38.81976318,14.94728851,-4.777135372,38.83146667,0.005148648,16.45448875,0.043791186,0.039199829,14.15662479,38.78001022
228.2474213,38.81974792,14.9506588,-0.957989514,38.8314476,0.005137254,16.45448685,0.043806918,0.039201446,14.15677738,38.7785759
228.3025055,38.81977844,14.95292568,-0.249414504,38.83149338,0.005133571,16.49311256,0.043774899,0.039168462,14.15606308,38.77858353
228.3029633,38.8197937,14.95124149,-7.481551647,38.83151245,0.005139211,16.49930382,0.043762855,0.03916325,14.15584278,38.77946472
228.326355,38.81980896,14.95122337,-11.42661572,38.83154297,0.005137401,16.52330971,0.043763071,0.039153516,14.15523148,38.78001404
228.3533478,38.81982422,14.95141888,-14.73768806,38.83157349,0.005134299,16.55059624,0.04376683,0.039143648,14.15453815,38.78053665
228.3739166,38.81983185,14.95209217,-16.3522892,38.83159256,0.005129818,16.57004547,0.043775879,0.039138567,14.15405464,38.78066635
228.3460846,38.81982422,14.95031166,-16.69558907,38.8315773,0.005137017,16.54883575,0.04376917,0.039147057,14.15450478,38.78094864
228.3274994,38.81980133,14.95148373,-8.039658546,38.83153915,0.005133627,16.52696609,0.043782193,0.039159864,14.15508556,38.77993011
228.3007507,38.81977463,14.95257282,-1.301549315,38.83149338,0.005130999,16.49721718,0.043795161,0.039175991,14.15585995,38.77877045
228.2925262,38.81975937,14.95346546,-2.309108257,38.83147049,0.005126867,16.48789597,0.043812506,0.039185964,14.15608978,38.77813339
228.2763977,38.81977463,14.94962502,-13.77959633,38.83149338,0.005138644,16.48735619,0.043802552,0.039187763,14.1559,38.77973175
228.2583313,38.81978989,14.94588661,-18.60581398,38.83150864,0.005150766,16.48384857,0.043789614,0.039189328,14.15580177,38.78123856
228.2442474,38.81978989,14.94418526,-15.92170525,38.83151245,0.005156592,16.47643852,0.043783996,0.039192524,14.15590286,38.7817955
228.2456818,38.81977844,14.94622612,-8.922100067,38.83149338,0.005150105,16.47038651,0.043793358,0.039195899,14.15614891,38.78079224
228.2457123,38.81975174,14.94965076,-5.314365387,38.83145523,0.005139949,16.45716476,0.043805376,0.039201215,14.1566515,38.77906036
228.2649536,38.81973267,14.95440006,1.71381104,38.83142853,0.005123938,16.45892525,0.043826781,0.039202459,14.15682507,38.77707672
228.3326569,38.81980896,14.95192051,-8.752948761,38.83154297,0.005136916,16.52451897,0.043754935,0.039148528,14.15527725,38.77976227
228.334549,38.8198204,14.9508152,-13.85001183,38.83155823,0.005140195,16.53058052,0.043748505,0.039144911,14.15507698,38.78038406
228.3513031,38.81983185,14.95052147,-18.8028183,38.83158493,0.005139281,16.54940414,0.043749511,0.03913803,14.15457535,38.78093719
228.3737946,38.81983948,14.95143318,-22.80146408,38.83160019,0.005133569,16.57034302,0.043761075,0.039133027,14.15405846,38.78099823
228.3913727,38.81983948,14.95263958,-24.32443237,38.83160782,0.005127039,16.5854969,0.043776494,0.039131634,14.15369415,38.78078842
228.3612366,38.81983185,14.95067501,-24.40846062,38.83159256,0.005134627,16.56305504,0.043771133,0.039141495,14.15415859,38.78111649
